Frequency,Nominal,Min,Max
4,-41.16964456937489,-46.085740911365946,-36.42675971506564
4.093171969123016,-42.19404589008307,-47.24451670823573,-37.32350277702604
4.1885141922035976,-43.24629743798349,-48.435191994977636,-38.24420609307667
4.286077220950425,-44.32724531548702,-49.65871077388535,-39.18959916429386
4.385912784572739,-45.4377584317079,-50.91603513403748,-40.16043458644349
4.4880738172078525,-46.57872793424275,-52.208143352153684,-41.15748825530223
4.5926144859875295,-47.75106640844983,-53.53602760471944,-42.18155946216541
4.699590219758116,-48.95570681296553,-54.900691255070946,-43.23347085960525
4.80905773846965,-50.193601118217586,-56.303145680274824,-44.31406827533438
4.921075083249525,-51.46571861305676,-57.74440660516339,-45.424220349741134
5.035701647176667,-52.77304384348917,-59.22548991513861,-46.56481797034258
5.152998206772534,-54.11657414705208,-60.74740692571106,-47.736773474107586
5.273026954225627,-55.4973167468647,-62.31115909560923,-48.94101958641181
5.395851530366613,-56.916285371082864,-63.91773218209974,-50.178508063407044
5.521537058411538,-58.3744963667091,-65.56808985233921,-51.45020800294325
5.650150178491016,-59.87296428181314,-67.26316678351783,-52.75710378803657
5.781759082983708,-61.41269689759872,-69.0038613076154,-54.1001926264254
5.916433552672827,-62.99468970182637,-70.7910276839834,-55.48048165023417
6.05424499374483,-64.61991980830247,-72.62546811478857,-56.89898454144368
6.195266475649922,-66.28933934389121,-74.5079246544572,-58.35671765207098
6.339572769844451,-68.00386834517424,-76.4390712042287,-59.854695593037135
6.4872403894357165,-69.76438723177806,-78.41950582600484,-61.39392627305456
6.638347629750239,-71.57172895268688,-80.44974365470308,-62.97540537890256
6.792974609846974,-73.4266709355428,-82.53021073370604,-64.60011030162008
6.951203314997498,-75.32992700676893,-84.66123914168926,-66.2689935298456
7.113117640155687,-77.28213949176718,-86.84306381866028,-67.98297555215194
7.278803434439928,-79.28387174852136,-89.0758215316399,-69.74293733506798
7.448348546651464,-81.33560143333342,-91.35955244306331,-71.54971247272054
7.621842871852983,-83.43771484235685,-93.69420475465512,-73.40407913766431
7.799378399032175,-85.59050271482955,-96.07964289346651,-75.30675200025183
7.981049259875512,-87.79415792083944,-98.51565968273921,-77.25837432527483
8.16695177867811,-90.0487754851627,-101.00199289687299,-79.25951049866026
8.35718452341615,-92.35435541616422,-103.53834653680333,-81.31063928239912
8.55184835800892,-94.71080881199478,-106.12441708059684,-83.41214814083821
8.751046495798201,-97.11796770278532,-108.75992486657209,-85.56432902375258
8.954884554273349,-99.57559905532678,-111.44465065655683,-87.76737602863246
9.163470611071082,-102.08342331489918,-114.1784773098256,-90.0213853934408
9.376915261279677,-104.64113778778561,-116.9614363790795,-92.32635828870646
9.59533167607795,-107.24844507926232,-119.79375932342087,-94.68220688125014
9.81883566274011,-109.90508669859105,-122.67593292316691,-97.08876412853056
10.047545726038308,-112.61088182905564,-125.60875837846646,-99.54579773061405
10.281583131075442,-115.36577114246393,-128.59341347513265,-102.05302861519672
10.521071967581513,-118.16986541900035,-131.63151709869175,-104.61015426019753
10.766139215707648,-121.02349861929343,-134.72519525659862,-107.2168770699054
11.01691481335265,-123.92728494863046,-137.8771476060139,-109.87293791754651
11.273531725057799,-126.8821793528551,-141.0907132482019,-112.57815485374744
11.536126012506406,-129.88954078662866,-144.3699341974424,-115.332466861784
11.804836906665525,-132.95119748657464,-147.71961440743894,-118.13598242193316
12.079806881608047,-136.06951334629412,-151.14537147438128,-120.98903253315271
12.361181730054343,-139.24745430059406,-154.65367705485176,-123.8922277332828
12.649110640673497,-142.4886533457752,-158.2518805538891,-126.84651855850863
12.94374627718511,-145.79747240345617,-161.94820867337785,-129.8532587839925
13.245244859303622,-149.17905861696224,-165.7517309095655,-132.91427067962167
13.55376624556808,-152.6393917795994,-169.67227806352705,-136.0319113797479
