Frequency,Nominal,Min,Max
4,1.5187800097683826e-7,1.3990378152351904e-7,1.6470377779430578e-7
4.093171969123016,1.5332870261962336e-7,1.4082131185120557e-7,1.667587748661971e-7
4.1885141922035976,1.5483143958506765e-7,1.4176769466216544e-7,1.6889587166172362e-7
4.286077220950425,1.563872586727434e-7,1.4274313320792197e-7,1.7111764445610508e-7
4.385912784572739,1.5799713696690637e-7,1.4374775765628654e-7,1.7342666470919407e-7
4.4880738172078525,1.5966196889616735e-7,1.4478161727857626e-7,1.7582548460761364e-7
4.5926144859875295,1.613825520637461e-7,1.458446723029452e-7,1.7831662024227328e-7
4.699590219758116,1.631595718032047e-7,1.4693678547851157e-7,1.809025321504233e-7
4.80905773846965,1.6499358443000088e-7,1.480577134090877e-7,1.8358560293933876e-7
4.921075083249525,1.668849991799717e-7,1.49207097731508e-7,1.8636811170196426e-7
5.035701647176667,1.6883405885292272e-7,1.5038445623189514e-7,1.8925220493563845e-7
5.152998206772534,1.7084081921386514e-7,1.5158917401373013e-7,1.9223986368604847e-7
5.273026954225627,1.7290512724717553e-7,1.528204948542457e-7,1.9533286666313768e-7
5.395851530366613,1.7502659841105195e-7,1.5407751291031482e-7,1.9853274911766054e-7
5.521537058411538,1.7720459310200088e-7,1.553591649613542e-7,2.0184075733092845e-7
5.650150178491016,1.7943819261242806e-7,1.5666422340441902e-7,2.0525779866100766e-7
5.781759082983708,1.8172617494906565e-7,1.5799129024497725e-7,2.087843872116819e-7
5.916433552672827,1.8406699097583658e-7,1.59338792355039e-7,2.1242058535148617e-7
6.05424499374483,1.864587414510219e-7,1.6070497829730206e-7,2.1616594151455817e-7
6.195266475649922,1.8889915564356865e-7,1.6208791703846075e-7,2.200194249677271e-7
6.339572769844451,1.913855723342624e-7,1.6348549889527101e-7,2.2397935853254547e-7
6.4872403894357165,1.939149241301106e-7,1.6489543907154035e-7,2.280433506078484e-7
6.638347629750239,1.964837261389769e-7,1.663152841509298e-7,2.3220822824529893e-7
6.792974609846974,1.9908807015882707e-7,1.6774242190712428e-7,2.364699734795744e-7
6.951203314997498,2.017236256227357e-7,1.6917409477730734e-7,2.408236655920858e-7
7.113117640155687,2.043856485961868e-7,1.706074173147701e-7,2.4526343246981945e-7
7.278803434439928,2.0706900013486764e-7,1.72039397889881e-7,2.497824146767319e-7
7.448348546651464,2.097681752659296e-7,1.7346696484390642e-7,2.5437274624102775e-7
7.621842871852983,2.1247734374019303e-7,1.7488699721626587e-7,2.5902555642367316e-7
7.799378399032175,2.1519040350465764e-7,1.7629636006240758e-7,2.637309968078685e-7
7.981049259875512,2.1790104755381828e-7,1.776919442573748e-7,2.684782978653833e-7
8.16695177867811,2.2060284442842116e-7,1.7907071054107166e-7,2.732558586412217e-7
8.35718452341615,2.2328933214055106e-7,1.8042973740841452e-7,2.7805137228604634e-7
8.55184835800892,2.2595412472032514e-7,1.8176627228528673e-7,2.828519888040028e-7
8.751046495798201,2.2859102991589176e-7,1.830777852650766e-7,2.87644514545287e-7
8.954884554273349,2.3119417585702645e-7,1.8436202451703069e-7,2.9241564566725184e-7
9.163470611071082,2.3375814374325713e-7,1.85617072323694e-7,2.97152230068831e-7
9.376915261279677,2.3627810287578844e-7,1.8684140056734377e-7,3.018415492731086e-7
9.59533167607795,2.38749943657034e-7,1.8803392437085396e-7,3.0647160854060816e-7
9.81883566274011,2.4117040356934295e-7,1.8919405251171542e-7,3.110314203250507e-7
10.047545726038308,2.4353718064583897e-7,1.9032173317159714e-7,3.155112632329641e-7
10.281583131075442,2.458490285793805e-7,1.9141749355738057e-7,3.199028961055642e-7
10.521071967581513,2.481058273810575e-7,1.9199682471582195e-7,3.2419970485023276e-7
10.766139215707648,2.503086233763295e-7,1.9209152351643463e-7,3.283967582836995e-7
11.01691481335265,2.524596322696029e-7,1.921229267590519e-7,3.324907484958868e-7
11.273531725057799,2.545621989476567e-7,1.9209832583954445e-7,3.370870339779074e-7
11.536126012506406,2.566207075388857e-7,1.9202576555341337e-7,3.420951763074036e-7
11.804836906665525,2.586404348948232e-7,1.9191392560196636e-7,3.470636502044208e-7
12.079806881608047,2.6062734000510915e-7,1.917719890417125e-7,3.5283502653852813e-7
12.361181730054343,2.6258778080069894e-7,1.916094988860734e-7,3.5869642956540663e-7
12.649110640673497,2.645281482788646e-7,1.9143620327138172e-7,3.6455172240433427e-7
12.94374627718511,2.6645440589599516e-7,1.9126188853268573e-7,3.7038012816965615e-7
13.245244859303622,2.6837151982429654e-7,1.9109619821072942e-7,3.7615366732941773e-7
13.55376624556808,2.7028276322823035e-7,1.909484344446193e-7,3.818349948625634e-7
13.869474018101242,2.721888757168885e-7,1.9082733641503645e-7,3.873749070698671e-7
14.192535569342994,2.740870584868183e-7,1.9074082852203775e-7,3.927095971354091e-7
14.523122190804028,2.759697878588262e-7,1.9069572886673392e-7,3.9775782782346424e-7
14.861409163886874,2.7782343716172613e-7,1.9069740646477415e-7,4.024183172890581e-7
15.20757585282242,2.7962671240667154e-7,1.907493736484714e-7,4.06619469409471e-7
15.561805799771195,2.8134893514439626e-7,1.9085279865917658e-7,4.120864148799789e-7
15.924286822139859,2.829482513249634e-7,1.910059230706084e-7,4.1715754509648997e-7
16.295211112164477,2.84369912799989e-7,1.91203370339626e-7,4.216776902380138e-7
16.674775338813383,2.8554487101646017e-7,1.9143533685099674e-7,4.254621394842537e-7
17.063180752063673,2.863890370332911e-7,1.910925368607285e-7,4.2830005160168574e-7
17.460633289606605,2.868036828202305e-7,1.8964959535472453e-7,4.338872225429372e-7
17.867343686038488,2.8667755151715187e-7,1.8788498902110005e-7,4.392095306256865e-7
18.283527584594964,2.8589125120744685e-7,1.857485926480852e-7,4.4370054363524093e-7
18.709405651487888,2.8432435169534677e-7,1.831933788303957e-7,4.4708707574327903e-7
19.145203692905493,2.8186521594197933e-7,1.8017950788056307e-7,4.4908052259295825e-7
19.591152774737807,2.784229587723679e-7,1.766788026652201e-7,4.4940151725164506e-7
20.04748934509085,2.7394012834786454e-7,1.7267906627590289e-7,4.478124252175605e-7
20.51445535965455,2.684039889159203e-7,1.6518659866898536e-7,4.4415353910602316e-7
20.99229840999086,2.618539840101611e-7,1.5671916242574273e-7,4.3837597837067565e-7
21.481271854810064,2.543833637645054e-7,1.482330157738425e-7,4.305630800479489e-7
21.981634954304933,2.461341051585175e-7,1.398647782720603e-7,4.240011208825085e-7
22.49365300761391,2.372858214032739e-7,1.3172923781627987e-7,4.1884750366640965e-7
23.017597493486225,2.2804077914672195e-7,1.239168174944029e-7,4.122983863105465e-7
23.553746214223505,2.1860789216946922e-7,1.1649383336488762e-7,4.0967054557280397e-7
24.102383442974254,2.0918842840352258e-7,1.0950468823012122e-7,4.064443873966131e-7
24.66380007445923,1.9996533656450847e-7,1.0297515303527172e-7,4.0254528279599005e-7
25.23829377920767,1.910969878895391e-7,9.691604770736536e-8,3.982784105785119e-7
25.826169161386158,1.8271514578711148e-7,9.132684602091282e-8,3.940125828031152e-7
26.427737920303777,1.7492635281425414e-7,8.619892818508586e-8,3.9016244229362446e-7
27.043319015679206,1.6781568832024638e-7,8.151835966434653e-8,3.871698691644451e-7
27.673238836757392,1.6145189664405701e-7,7.726817957141069e-8,3.8548530483102064e-7
28.317831375365447,1.5589306637318194e-7,7.343024405654305e-8,3.855468815195601e-7
28.97743840299953,1.5119222084881725e-7,6.998670089437992e-8,3.8775276232178393e-7
29.652409652036628,1.4740225469663985e-7,6.69211816197554e-8,3.9242305844229466e-7
30.343103001167275,1.4457954286524963e-7,6.421979482327543e-8,3.997590527476391e-7
31.04988466514759,1.4278521438944746e-7,6.187199257644577e-8,4.0983985253009997e-7
31.773129388971178,1.4208259969339183e-7,5.987136116029067e-8,4.227509509654133e-7
32.51322064656389,1.4252920880704344e-7,5.8216351912307e-8,4.4137057170395484e-7
33.27055084410676,1.4416329268672393e-7,5.691090608368546e-8,4.73323160562456e-7
