Frequency,Nominal,Min,Max
4,2112828.0983765917,1841406.0577567113,2443120.021384542
4.093171969123016,2046761.3446185924,1781562.1662794428,2369772.5134834386
4.1885141922035976,1982224.0462081805,1723165.4149553983,2298058.7638525744
4.286077220950425,1919194.1561595364,1666195.6638351632,2227953.3873021067
4.385912784572739,1857650.183945084,1610633.090587527,2159431.813045978
4.4880738172078525,1797571.1415140275,1556458.1399164933,2092470.233457747
4.5926144859875295,1738936.4896365537,1503651.4746818803,2027045.5519422775
4.699590219758116,1681726.0848633456,1452193.9290188272,1963135.33012362
4.80905773846965,1625920.127398844,1402066.463739324,1900717.7345725216
4.921075083249525,1571499.110189619,1353250.124284051,1839771.483316737
5.035701647176667,1518443.7695298896,1305726.0014715914,1780275.7923951433
5.152998206772534,1466735.0374804942,1259475.1952689644,1722210.3227308884
5.273026954225627,1416353.9963897143,1214478.781780136,1665555.127611248
5.395851530366613,1367281.8357900686,1170717.7836185582,1610290.6010690518
5.521537058411538,1319499.8119279903,1128173.1437974023,1556397.4274640623
5.650150178491016,1272989.2101621407,1086825.703236763,1503856.532563435
5.781759082983708,1227731.3104403575,1046656.181950587,1452649.036414864
5.916433552672827,1183707.356037429,1007645.1639405052,1402756.208297626
6.05424499374483,1140898.5257048104,969773.0857865763,1354159.4240234566
6.195266475649922,1099285.9093496532,933020.2288895189,1306840.125841707
6.339572769844451,1058850.487326403,897366.7152843908,1260779.785182237
6.4872403894357165,1019573.1133879598,862792.5069126019,1215959.8684444597
6.638347629750239,981434.5013071555,829277.4082090785,1172361.8060131874
6.792974609846974,944415.2151437796,796801.0718333581,1129966.9646508575
6.951203314997498,908495.6630969401,765343.0073488504,1088756.6233833164
7.113117640155687,873656.0948494503,734882.5926332782,1048711.9529613005
7.278803434439928,839876.6022788495,705399.0877856878,1009813.9989449313
7.448348546651464,807137.1233812014,676871.6512815205,972043.6684220155
7.621842871852983,775417.4492271657,649279.3581170681,935381.7203360144
7.799378399032175,744697.2337470296,622601.219678351,899808.7593645379
7.981049259875512,714956.0061220068,596816.2050666051,865305.23325607
8.16695177867811,686173.1855429526,571903.2636133658,831851.4335013242
8.35718452341615,658328.0980858373,547841.348322058,799427.499187032
8.55184835800892,631399.9954445433,524609.4399799178,768013.4238536701
8.751046495798201,605368.0752571487,502186.5716937404,737589.0651562552
8.954884554273349,580211.5027603403,480551.8536147987,708134.1571076054
9.163470611071082,555909.4335089244,459684.49763228983,679628.3246680086
9.376915261279677,532441.0369025101,439563.8418302112,652051.100433045
9.59533167607795,509785.5202695956,420169.3745193712,625381.9431629212
9.81883566274011,487922.1532696718,401480.75767417625,599600.2578919491
10.047545726038308,466830.2923868454,383477.8496221525,574685.4173556813
10.281583131075442,446489.40530289337,366140.72685298766,550616.7844750268
10.521071967581513,426879.0949537275,349449.7048326802,527373.7356421095
10.766139215707648,407979.12309039175,333385.3577269969,504935.6845603357
11.01691481335265,389769.4331836127,317928.5369566615,483282.1064016688
11.273531725057799,372230.1725294074,303060.388524324,462392.56205666665
11.536126012506406,355341.71343185595,288762.36907027184,442246.7222671789
11.804836906665525,339084.6733577072,275016.26062993373,422824.3914474502
12.079806881608047,323439.93397581193,261804.18408140325,404105.5310163695
12.361181730054343,308388.65901213366,249108.61128544284,386070.2820813102
12.649110640673497,293912.31086831674,236912.37593377143,368698.98733229353
12.94374627718511,279992.6659681161,225198.68313383666,351972.21202361624
13.245244859303622,266611.8288116168,213951.1177698637,335870.7639385022
13.55376624556808,253752.24473174836,203153.65169084826,320375.71225043025
13.869474018101242,241396.7113613268,192790.64978646548,305468.4052124445
14.192535569342994,229528.3888316721,182846.87502178203,291130.48662270245
14.523122190804028,218130.80873573557,173307.49251145293,277343.9110308632
14.861409163886874,207187.88189986622,164158.0727240496,264090.9576651903
15.20757585282242,196683.90501881667,155384.59391767424,251354.24307486127
15.561805799771195,186603.56621862468,146973.44391956402,239116.73249546372
15.924286822139859,176931.94962171602,138911.42137557673,227361.74995839785
16.295211112164477,167654.53899832087,131185.7366110225,216072.98717668196
16.674775338813383,158757.22059832796,123784.01226329584,205234.51125073715
17.063180752063673,150226.28526849338,116694.28387042537,194830.77124809445
17.460633289606605,142048.429971957,109905.00062968406,184846.60372092333
17.867343686038488,134210.75884099668,103405.02657906697,175267.23723488217
18.283527584594964,126700.78391068164,97183.64250470439,166078.29599243548
18.709405651487888,119506.42570169843,91230.54894321432,157265.80264371954
19.145203692905493,112616.01384651965,85535.87073510751,148816.18038869457
19.591152774737807,106018.28798618414,80090.16370114121,140716.2544862374
20.04748934509085,99702.39920774364,74884.42416834264,132953.25329962446
20.51445535965455,93657.91234829943,69910.10228053483,125514.8090243894
20.99229840999086,87874.80956507195,65159.120309330865,118388.95826489202
21.481271854810064,82343.49566832256,60623.89756298254,111564.14265150997
21.981634954304933,77054.80584374485,56297.38400966771,105029.20972302891
22.49365300761391,72000.01656487971,52173.1054398115,98773.41434105104
23.017597493486225,67170.86073044172,48245.223956779,92786.42095838055
23.553746214223505,62559.5483786136,44508.61889348584,87058.30713589955
24.102383442974254,58158.79476135089,40958.99500584113,81579.56879855314
24.66380007445923,53961.85814900625,37593.027089203555,76341.1278491395
25.23829377920767,49962.59053646123,34408.55303291004,71334.34293023933
25.826169161386158,46155.50551165641,31404.830583705272,66551.02435583365
26.427737920303777,42535.869019252685,28582.875966497144,61983.45454709539
27.043319015679206,39099.820708698506,25945.9028771234,57624.41573206558
27.673238836757392,35844.53607638929,23499.873106445848,53467.227248327785
